,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,state,city,Asian/NHPI Alone and in Combination
49,"Atmore, AL Micro Area",36757.0,751.0,34593.0,1413.0,22649.517,11197.517,147.767,124.817,1854.183,32.2,AL,Atmore,179.96699999999998
50,"Auburn, IN Micro Area",43265.0,1185.0,40825.0,1255.0,40835.75,287.583,275.25,209.333,412.417,59.667,IN,Auburn,334.91700000000003
51,"Auburn, NY Micro Area",76248.0,2636.0,69950.0,3662.0,68052.917,3358.783,499.45,795.7,822.45,82.7,NY,Auburn,582.15
52,"Auburn-Opelika, AL Metro Area",174241.0,9135.0,158526.0,6580.0,112785.8,40310.05,9212.05,960.633,1653.8,183.667,AL,Auburn-Opelika,9395.716999999999
53,"Augusta-Richmond County, GA-SC Metro Area",611000.0,37863.0,547051.0,26086.0,330075.283,215771.367,15737.2,4360.6,6028.633,1163.917,GA,Augusta-Richmond County,16901.117000000002
54,"Augusta-Waterville, ME Micro Area",123642.0,2552.0,115621.0,5469.0,115326.833,1272.917,1543.25,1081.167,1795.917,69.917,ME,Augusta-Waterville,1613.167
55,"Austin, MN Micro Area",40029.0,5081.0,33904.0,1044.0,30302.417,1759.0,2140.083,282.333,193.583,270.583,MN,Austin,2410.666
56,"Austin-Round Rock-Georgetown, TX Metro Area",2283371.0,728021.0,1462317.0,93033.0,1174717.117,162761.2,174801.533,20437.85,18458.617,4173.683,TX,Austin-Round Rock-Georgetown,178975.216
57,"Bainbridge, GA Micro Area",29367.0,1911.0,26807.0,649.0,14563.533,12350.867,214.7,114.833,191.2,20.867,GA,Bainbridge,235.56699999999998
58,"Bakersfield, CA Metro Area",909235.0,499158.0,381514.0,28563.0,292128.6,50333.017,47847.7,6866.767,10959.25,1941.667,CA,Bakersfield,49789.367
59,"Baltimore-Columbia-Towson, MD Metro Area",2844510.0,215867.0,2501380.0,127263.0,1552975.067,827798.283,195761.633,26921.367,22717.617,2469.033,MD,Baltimore-Columbia-Towson,198230.666
60,"Bangor, ME Metro Area",152199.0,2715.0,143408.0,6076.0,141247.0,1944.083,2260.667,1079.083,2866.583,86.583,ME,Bangor,2347.25
61,"Baraboo, WI Micro Area",65763.0,4050.0,59767.0,1946.0,58799.167,800.5,492.167,471.833,1113.667,35.667,WI,Baraboo,527.834
62,"Bardstown, KY Micro Area",46738.0,1214.0,43758.0,1766.0,41960.25,2547.417,356.417,233.167,405.667,21.083,KY,Bardstown,377.5
63,"Barnstable Town, MA Metro Area",228996.0,7908.0,208758.0,12330.0,199992.0,7861.0,3790.833,7163.083,2145.833,135.25,MA,Barnstable Town,3926.083
64,"Barre, VT Micro Area",59807.0,1569.0,55425.0,2813.0,55080.083,804.417,802.833,727.25,783.417,40.0,VT,Barre,842.833
65,"Bartlesville, OK Micro Area",52455.0,3360.0,42829.0,6266.0,38145.667,1800.0,1122.667,326.5,7657.833,42.333,OK,Bartlesville,1165.0
66,"Batavia, NY Micro Area",58388.0,2752.0,53280.0,2356.0,52088.717,1729.617,522.533,475.533,797.45,22.15,NY,Batavia,544.683
67,"Batesville, AR Micro Area",55209.0,3620.0,49002.0,2587.0,48497.333,1172.917,490.25,369.167,997.833,61.5,AR,Batesville,551.75
68,"Baton Rouge, LA Metro Area",870569.0,55184.0,790110.0,25275.0,477902.75,305627.133,19578.5,5374.917,6464.05,437.65,LA,Baton Rouge,20016.15
69,"Battle Creek, MI Metro Area",134310.0,7426.0,119640.0,7244.0,103775.917,15974.417,4020.167,1098.667,1944.917,69.917,MI,Battle Creek,4090.084
70,"Bay City, MI Metro Area",103856.0,5930.0,93563.0,4363.0,92935.75,2256.083,710.367,762.467,1241.167,20.167,MI,Bay City,730.534
71,"Bay City, TX Micro Area",36255.0,15455.0,19998.0,802.0,15728.1,3866.517,741.183,197.583,254.017,12.6,TX,Bay City,753.783
72,"Beatrice, NE Micro Area",21704.0,635.0,20396.0,673.0,20385.9,196.233,122.733,112.567,245.667,5.9,NE,Beatrice,128.633
73,"Beaumont-Port Arthur, TX Metro Area",397565.0,69597.0,316720.0,11248.0,212952.983,96850.317,12135.983,2392.5,3437.9,198.317,TX,Beaumont-Port Arthur,12334.3
74,"Beaver Dam, WI Micro Area",89396.0,5490.0,81643.0,2263.0,78935.75,2945.833,644.583,527.417,833.417,19.0,WI,Beaver Dam,663.583
75,"Beckley, WV Metro Area",115079.0,1722.0,108713.0,4644.0,102033.083,8191.417,1070.917,712.667,1300.083,48.833,WV,Beckley,1119.75
76,"Bedford, IN Micro Area",45011.0,765.0,42850.0,1396.0,42897.333,303.833,280.0,213.833,535.417,15.583,IN,Bedford,295.583
77,"Beeville, TX Micro Area",31047.0,19392.0,11248.0,407.0,8785.833,2361.75,233.417,125.333,136.583,12.083,TX,Beeville,245.5
78,"Bellefontaine, OH Micro Area",46150.0,1004.0,43024.0,2122.0,42758.6,1009.6,443.667,351.017,551.433,31.683,OH,Bellefontaine,475.34999999999997
79,"Bellingham, WA Metro Area",226847.0,22825.0,190027.0,13995.0,176894.167,3330.6,12101.417,2859.133,7747.083,1089.6,WA,Bellingham,13191.017
80,"Bemidji, MN Micro Area",46228.0,1108.0,42579.0,2541.0,33634.0,688.5,394.0,372.167,10002.5,28.833,MN,Bemidji,422.83299999999997
81,"Bend, OR Metro Area",198253.0,17237.0,170227.0,10789.0,169790.7,1294.417,3692.367,2506.65,3148.95,582.917,OR,Bend,4275.284000000001
82,"Bennettsville, SC Micro Area",26667.0,575.0,25133.0,959.0,10961.167,13543.833,106.0,84.083,1389.083,7.833,SC,Bennettsville,113.833
83,"Bennington, VT Micro Area",37347.0,939.0,34886.0,1522.0,34633.417,534.0,493.75,338.333,396.083,12.417,VT,Bennington,506.167
84,"Berlin, NH Micro Area",31268.0,672.0,29474.0,1122.0,29174.933,555.183,253.15,202.267,401.933,8.533,NH,Berlin,261.683
85,"Big Rapids, MI Micro Area",39714.0,1026.0,36927.0,1761.0,36356.917,999.917,391.083,339.083,584.0,17.0,MI,Big Rapids,408.083
86,"Big Spring, TX Micro Area",34860.0,16174.0,17869.0,817.0,16063.5,1632.5,430.25,120.583,423.5,15.667,TX,Big Spring,445.917
87,"Big Stone Gap, VA Micro Area",39817.0,533.0,38099.0,1185.0,36377.233,2105.9,215.15,198.15,366.233,21.333,VA,Big Stone Gap,236.483
88,"Billings, MT Metro Area",184167.0,10645.0,164355.0,9167.0,158596.25,1909.833,1948.0,1765.0,8922.083,380.833,MT,Billings,2328.833
89,"Binghamton, NY Metro Area",247138.0,11402.0,223629.0,12107.0,205978.3,13951.55,10498.1,2700.117,2425.05,182.883,NY,Binghamton,10680.983
90,"Birmingham-Hoover, AL Metro Area",1115289.0,64820.0,1014880.0,35589.0,679165.083,332278.583,21617.467,6154.567,10533.5,719.8,AL,Birmingham-Hoover,22337.267
91,"Bismarck, ND Metro Area",133626.0,4424.0,124768.0,4434.0,117008.533,3115.7,1532.2,647.2,6472.667,425.7,ND,Bismarck,1957.9
92,"Blackfoot, ID Micro Area",47992.0,8331.0,38312.0,1349.0,35579.167,187.0,327.75,268.0,3223.25,75.833,ID,Blackfoot,403.58299999999997
93,"Blacksburg-Christiansburg, VA Metro Area",166378.0,6364.0,153105.0,6909.0,138591.067,9151.817,9581.4,1198.1,1401.067,90.55,VA,Blacksburg-Christiansburg,9671.949999999999
94,"Bloomington, IL Metro Area",170954.0,10524.0,153161.0,7269.0,132860.333,16190.833,8745.167,1173.0,1374.583,86.083,IL,Bloomington,8831.25
95,"Bloomington, IN Metro Area",161039.0,6655.0,146765.0,7619.0,135948.767,6133.183,9306.733,1302.45,1585.267,107.6,IN,Bloomington,9414.333
96,"Bloomsburg-Berwick, PA Metro Area",82863.0,2627.0,77835.0,2401.0,76079.05,1474.383,1598.717,457.95,584.717,41.183,PA,Bloomsburg-Berwick,1639.9
97,"Bluefield, WV-VA Micro Area",106363.0,1272.0,101257.0,3834.0,97296.5,5487.083,623.917,543.833,1097.25,42.417,WV,Bluefield,666.3340000000001
98,"Bluffton, IN Micro Area",28180.0,1019.0,26445.0,716.0,26340.75,300.75,163.083,123.167,222.25,11.0,IN,Bluffton,174.083
99,"Blytheville, AR Micro Area",40685.0,1771.0,37522.0,1392.0,23463.95,14592.283,272.2,224.117,355.25,6.2,AR,Blytheville,278.4
100,"Bogalusa, LA Micro Area",45463.0,1410.0,42721.0,1332.0,30197.817,13005.317,190.983,220.4,431.233,7.25,LA,Bogalusa,198.233
101,"Boise City, ID Metro Area",764718.0,109350.0,619129.0,36239.0,601742.567,11588.267,20599.1,8036.417,10560.933,2840.717,ID,Boise City,23439.817
102,"Bonham, TX Micro Area",35662.0,4218.0,29827.0,1617.0,27824.583,2364.0,213.417,225.25,792.667,24.083,TX,Bonham,237.5
103,"Boone, NC Micro Area",54086.0,3521.0,48556.0,2009.0,45897.05,2322.967,1141.717,624.467,487.467,91.333,NC,Boone,1233.0500000000002
104,"Borger, TX Micro Area",20617.0,4961.0,14631.0,1025.0,14278.333,519.5,139.833,129.5,583.333,5.5,TX,Borger,145.333
105,"Boston-Cambridge-Newton, MA-NH Metro Area",4941632.0,580852.0,4132297.0,228483.0,3383138.15,377988.567,452451.617,123966.133,20464.433,2771.1,NH,Boston-Cambridge-Newton,455222.717
106,"Boulder, CO Metro Area",330758.0,48168.0,267816.0,14774.0,252303.833,4219.417,18899.5,3860.833,2886.583,419.833,CO,Boulder,19319.333
107,"Bowling Green, KY Metro Area",179639.0,10763.0,161809.0,7067.0,142876.417,14479.833,7869.5,1220.167,1678.0,752.083,KY,Bowling Green,8621.583
108,"Bozeman, MT Micro Area",118960.0,5895.0,107447.0,5618.0,106734.233,774.0,1998.9,1479.9,1920.4,157.567,MT,Bozeman,2156.467
109,"Bradford, PA Micro Area",40432.0,642.0,38219.0,1571.0,37749.917,965.5,254.917,352.833,452.083,14.75,PA,Bradford,269.66700000000003
110,"Brainerd, MN Micro Area",96189.0,1338.0,91219.0,3632.0,87673.583,731.75,635.417,877.083,4886.333,46.833,MN,Brainerd,682.25
111,"Branson, MO Micro Area",56066.0,4329.0,48689.0,3048.0,47918.917,1046.083,784.917,457.833,1297.583,231.667,MO,Branson,1016.5840000000001
112,"Breckenridge, CO Micro Area",31055.0,5335.0,24658.0,1062.0,24280.267,305.767,550.183,317.683,219.183,46.917,CO,Breckenridge,597.1
113,"Bremerton-Silverdale-Port Orchard, WA Metro Area",275611.0,24184.0,228460.0,22967.0,209315.45,9532.35,18298.617,3555.383,6762.683,3962.517,WA,Bremerton-Silverdale-Port Orchard,22261.134
114,"Brenham, TX Micro Area",35805.0,6425.0,28354.0,1026.0,22508.133,5703.8,590.967,282.133,273.133,21.833,TX,Brenham,612.8
115,"Brevard, NC Micro Area",32986.0,1698.0,29981.0,1307.0,29155.6,1210.1,244.267,209.933,435.1,33.0,NC,Brevard,277.267
116,"Bridgeport-Stamford-Norwalk, CT Metro Area",957419.0,205351.0,715131.0,36937.0,568384.217,105146.217,55223.3,19833.283,3056.767,424.217,CT,Bridgeport-Stamford-Norwalk,55647.517
117,"Brookhaven, MS Micro Area",34907.0,406.0,33791.0,710.0,23310.583,10630.233,197.483,131.4,216.317,14.983,MS,Brookhaven,212.466
118,"Brookings, OR Micro Area",23446.0,1674.0,20330.0,1442.0,20125.4,131.0,304.4,306.233,858.15,46.817,OR,Brookings,351.217
119,"Brookings, SD Micro Area",34375.0,1427.0,31911.0,1037.0,30424.833,725.167,1014.5,155.333,610.667,17.5,SD,Brookings,1032.0
120,"Brownsville, TN Micro Area",17864.0,838.0,16668.0,358.0,7709.6,9090.85,34.6,89.6,92.933,8.417,TN,Brownsville,43.017
121,"Brownsville-Harlingen, TX Metro Area",421017.0,376680.0,42399.0,1938.0,38006.65,1589.15,2754.4,1177.15,690.317,119.333,TX,Brownsville-Harlingen,2873.733
122,"Brownwood, TX Micro Area",38095.0,8211.0,28551.0,1333.0,27310.233,1506.233,310.5,220.4,495.4,41.233,TX,Brownwood,351.733
123,"Brunswick, GA Metro Area",113495.0,6893.0,102599.0,4003.0,78151.017,24947.6,1519.35,740.85,1098.733,144.45,GA,Brunswick,1663.8
124,"Bucyrus-Galion, OH Micro Area",42025.0,638.0,39946.0,1441.0,40084.583,489.833,179.417,225.583,391.75,15.833,OH,Bucyrus-Galion,195.25
125,"Buffalo-Cheektowaga, NY Metro Area",1166902.0,67476.0,1057732.0,41694.0,870847.683,154377.683,52214.35,8383.867,13068.517,533.9,NY,Buffalo-Cheektowaga,52748.25
126,"Burley, ID Micro Area",46268.0,15095.0,30131.0,1042.0,29965.433,133.6,291.267,268.933,445.767,68.0,ID,Burley,359.267
127,"Burlington, IA-IL Micro Area",45297.0,1357.0,41981.0,1959.0,39747.533,2945.533,508.533,286.167,404.367,47.867,IA,Burlington,556.4
128,"Burlington, NC Metro Area",171415.0,24703.0,140285.0,6427.0,105214.733,35060.067,3232.483,1213.6,1855.583,135.533,NC,Burlington,3368.016
129,"Burlington-South Burlington, VT Metro Area",225562.0,5793.0,209264.0,10505.0,199867.833,5968.833,8572.5,2201.167,3026.417,132.25,VT,Burlington-South Burlington,8704.75
130,"Butte-Silver Bow, MT Micro Area",35133.0,1638.0,32055.0,1440.0,31785.783,186.617,285.7,336.25,857.95,42.7,MT,Butte-Silver Bow,328.4
131,"Cadillac, MI Micro Area",48725.0,1289.0,45520.0,1916.0,45648.883,362.55,330.383,423.583,660.55,10.05,MI,Cadillac,340.433
132,"Calhoun, GA Micro Area",57544.0,8957.0,46371.0,2216.0,44363.833,2375.5,805.417,293.167,716.083,33.0,GA,Calhoun,838.417
133,"California-Lexington Park, MD Metro Area",113777.0,6545.0,100465.0,6767.0,83273.783,17229.033,4185.783,1039.917,1327.45,176.033,MD,California-Lexington Park,4361.816000000001
134,"Cambridge, MD Micro Area",32531.0,1777.0,29490.0,1264.0,20457.783,9363.117,414.783,202.533,300.783,15.0,MD,Cambridge,429.783
135,"Cambridge, OH Micro Area",38438.0,444.0,36545.0,1449.0,36410.917,724.75,194.5,210.75,440.25,12.833,OH,Cambridge,207.333
136,"Camden, AR Micro Area",27389.0,643.0,25603.0,1143.0,16094.667,10032.417,169.333,133.5,293.5,22.583,AR,Camden,191.916
137,"Campbellsville, KY Micro Area",37130.0,919.0,34962.0,1249.0,33682.4,1688.9,313.733,236.9,269.067,20.0,KY,Campbellsville,333.733
138,"Cañon City, CO Micro Area",48939.0,6049.0,40809.0,2081.0,38729.317,1910.15,402.483,604.833,1185.9,57.317,CO,Cañon City,459.8
139,"Canton-Massillon, OH Metro Area",401574.0,10815.0,370412.0,20347.0,345296.067,32996.233,4074.817,3698.033,4496.867,196.983,OH,Canton-Massillon,4271.8
140,"Cape Coral-Fort Myers, FL Metro Area",760822.0,173161.0,564669.0,22992.0,500996.017,59319.183,14636.15,7892.267,4364.35,453.033,FL,Cape Coral-Fort Myers,15089.182999999999
141,"Cape Girardeau, MO-IL Metro Area",97517.0,2469.0,90432.0,4616.0,82754.5,8795.167,1538.0,630.667,1295.0,34.667,IL,Cape Girardeau,1572.667
142,"Carbondale-Marion, IL Metro Area",133435.0,5168.0,122028.0,6239.0,109548.933,12725.183,3178.017,1097.083,1648.267,69.517,IL,Carbondale-Marion,3247.5339999999997
143,"Carlsbad-Artesia, NM Micro Area",62314.0,31307.0,29473.0,1534.0,27876.783,893.867,663.367,581.083,925.283,66.617,NM,Carlsbad-Artesia,729.9839999999999
144,"Carroll, IA Micro Area",20760.0,594.0,19783.0,383.0,19598.617,309.617,97.7,67.25,88.617,4.2,IA,Carroll,101.9
145,"Carson City, NV Metro Area",58639.0,14870.0,40975.0,2794.0,38388.367,1271.7,1694.783,576.567,1631.883,205.7,NV,Carson City,1900.483
146,"Casper, WY Metro Area",79955.0,7169.0,69127.0,3659.0,68381.75,1071.333,863.0,715.667,1616.75,137.5,WY,Casper,1000.5
147,"Cedar City, UT Micro Area",57289.0,5482.0,49955.0,1852.0,48501.167,501.167,841.417,356.75,1271.75,334.75,UT,Cedar City,1176.167
148,"Cedar Rapids, IA Metro Area",276520.0,9870.0,254990.0,11660.0,236497.033,19124.533,6339.283,1900.267,2168.033,620.85,IA,Cedar Rapids,6960.133000000001
149,"Cedartown, GA Micro Area",42853.0,5585.0,35797.0,1471.0,30860.333,5384.5,282.0,249.833,460.667,30.667,GA,Cedartown,312.66700000000003
150,"Celina, OH Micro Area",42528.0,928.0,40837.0,763.0,40119.083,286.75,243.583,152.5,227.167,570.917,OH,Celina,814.5
151,"Central City, KY Micro Area",30928.0,569.0,29594.0,765.0,28568.917,1358.917,76.5,123.75,218.583,12.333,KY,Central City,88.833
152,"Centralia, IL Micro Area",37729.0,712.0,35200.0,1817.0,34018.167,1818.667,401.833,293.5,470.583,14.25,IL,Centralia,416.083
153,"Centralia, WA Micro Area",82149.0,8830.0,68360.0,4959.0,67873.933,811.35,1169.183,948.25,2220.6,295.683,WA,Centralia,1464.866
154,"Chambersburg-Waynesboro, PA Metro Area",155932.0,10764.0,139755.0,5413.0,135133.567,5995.233,1718.65,1006.417,1233.817,80.317,PA,Chambersburg-Waynesboro,1798.967
155,"Champaign-Urbana, IL Metro Area",222538.0,16913.0,194989.0,10636.0,145781.917,30411.167,25801.5,1855.0,1609.583,165.833,IL,Champaign-Urbana,25967.333
156,"Charleston, WV Metro Area",258859.0,3306.0,244597.0,10956.0,232359.667,15730.25,2749.583,1698.583,2894.25,120.667,WV,Charleston,2870.25
157,"Charleston-Mattoon, IL Micro Area",57313.0,1880.0,53355.0,2078.0,51278.417,2380.25,751.583,422.333,557.667,42.75,IL,Charleston-Mattoon,794.333
158,"Charleston-North Charleston, SC Metro Area",799636.0,60469.0,705968.0,33199.0,515273.65,187451.4,19769.983,7236.95,8305.983,1129.033,SC,Charleston-North Charleston,20899.016
159,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2660329.0,312184.0,2246940.0,101205.0,1581608.767,593005.9,123464.6,22062.717,26090.2,1912.817,SC,Charlotte-Concord-Gastonia,125377.417
160,"Charlottesville, VA Metro Area",221524.0,14760.0,196757.0,10007.0,163385.133,25249.217,14395.717,2030.233,1515.717,187.983,VA,Charlottesville,14583.7
161,"Chattanooga, TN-GA Metro Area",562647.0,32687.0,506722.0,23238.0,434684.45,73128.733,11179.367,3380.45,7146.9,440.1,TN,Chattanooga,11619.467
162,"Cheyenne, WY Metro Area",100512.0,15602.0,79957.0,4953.0,77614.75,2714.083,1706.0,1068.0,1571.417,235.75,WY,Cheyenne,1941.75
163,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9618502.0,2239376.0,7097559.0,281567.0,4949569.167,1591084.333,721953.067,68814.983,42850.717,4853.733,IL,Chicago-Naperville-Elgin,726806.8
164,"Chico, CA Metro Area",211632.0,40112.0,158046.0,13474.0,145942.717,4385.967,11726.05,2339.883,6256.367,869.017,CA,Chico,12595.067
165,"Chillicothe, OH Micro Area",77093.0,1031.0,72484.0,3578.0,69417.433,4671.6,502.933,464.667,973.1,32.267,OH,Chillicothe,535.2
166,"Cincinnati, OH-KY-IN Metro Area",2256884.0,95073.0,2064802.0,97009.0,1757813.317,288102.933,75070.017,17057.933,21022.6,2744.2,IN,Cincinnati,77814.217
167,"Clarksburg, WV Micro Area",90434.0,1659.0,85109.0,3666.0,84574.95,1826.283,663.533,663.95,995.7,50.583,WV,Clarksburg,714.116
168,"Clarksdale, MS Micro Area",21390.0,350.0,20676.0,364.0,4414.833,16346.833,131.667,66.833,76.0,3.833,MS,Clarksdale,135.5
169,"Clarksville, TN-KY Metro Area",320535.0,29339.0,271847.0,19349.0,210838.017,63911.233,7942.933,2823.65,4075.683,1604.483,TN,Clarksville,9547.416
170,"Clearlake, CA Micro Area",68163.0,15442.0,48512.0,4209.0,46174.683,1479.933,1258.6,896.417,2712.767,198.6,CA,Clearlake,1457.1999999999998
171,"Cleveland, MS Micro Area",30985.0,794.0,29539.0,652.0,10214.283,19435.117,290.867,100.7,147.0,3.033,MS,Cleveland,293.90000000000003
172,"Cleveland, TN Metro Area",126164.0,8758.0,111358.0,6048.0,107024.533,5942.95,1465.617,824.083,1985.533,163.283,TN,Cleveland,1628.8999999999999
173,"Cleveland-Elyria, OH Metro Area",2088251.0,133862.0,1874994.0,79395.0,1443596.883,417887.083,59886.717,17099.317,14953.333,965.667,OH,Cleveland-Elyria,60852.384
174,"Clewiston, FL Micro Area",39619.0,22112.0,16902.0,605.0,12362.667,4300.75,381.417,213.333,230.0,18.833,FL,Clewiston,400.25
175,"Clinton, IA Micro Area",46460.0,1539.0,43087.0,1834.0,42102.583,1708.25,348.167,321.917,421.583,18.5,IA,Clinton,366.667
176,"Clovis, NM Micro Area",48430.0,21796.0,24793.0,1841.0,21891.317,2812.65,908.4,427.15,525.15,69.333,NM,Clovis,977.733
177,"Coamo, PR Micro Area",34668.0,34464.0,185.0,19.0,104.0,17.5,15.0,61.5,3.0,3.0,0,Coamo,18.0
178,"Coco, PR Micro Area",25789.0,25577.0,201.0,11.0,165.5,23.333,0.5,20.833,1.167,0.667,0,Coco,1.167
179,"Coeur d'Alene, ID Metro Area",171362.0,8756.0,153778.0,8828.0,153388.283,843.7,2209.067,2042.15,3714.567,408.233,ID,Coeur d'Alene,2617.3
180,"Coffeyville, KS Micro Area",31486.0,2414.0,26337.0,2735.0,24875.75,1820.167,238.75,202.75,1894.333,40.25,KS,Coffeyville,279.0
181,"Coldwater, MI Micro Area",44862.0,2583.0,40692.0,1587.0,39796.333,1261.5,367.667,330.5,503.417,19.583,MI,Coldwater,387.25
182,"College Station-Bryan, TX Metro Area",268248.0,70307.0,189016.0,8925.0,147961.533,29711.95,15720.283,1986.5,2218.45,342.283,TX,College Station-Bryan,16062.565999999999
183,"Colorado Springs, CO Metro Area",755105.0,131700.0,575669.0,47736.0,523023.033,47895.283,28667.283,8688.983,11059.133,4071.283,CO,Colorado Springs,32738.566
184,"Columbia, MO Metro Area",210864.0,8582.0,190303.0,11979.0,166933.583,21592.417,8847.833,2015.067,2650.883,242.217,MO,Columbia,9090.050000000001
185,"Columbia, SC Metro Area",829470.0,55280.0,743264.0,30926.0,465703.55,273030.8,21298.967,5388.9,7758.9,1008.883,SC,Columbia,22307.850000000002
186,"Columbus, GA-AL Metro Area",328883.0,24624.0,290279.0,13980.0,151121.3,138251.633,8367.883,2406.067,3032.15,1079.967,AL,Columbus,9447.85
187,"Columbus, IN Metro Area",82208.0,7257.0,72013.0,2938.0,65800.85,2208.517,5581.433,561.833,715.183,83.183,IN,Columbus,5664.616
188,"Columbus, MS Micro Area",58879.0,1323.0,55998.0,1558.0,30043.75,26229.667,649.083,221.667,380.917,30.917,MS,Columbus,680.0
189,"Columbus, NE Micro Area",34296.0,7252.0,26335.0,709.0,25932.833,405.667,245.667,218.667,225.167,16.0,NE,Columbus,261.66700000000003
190,"Columbus, OH Metro Area",2138926.0,110967.0,1928662.0,99297.0,1523681.95,350929.183,114108.85,18482.15,19391.233,1365.633,OH,Columbus,115474.48300000001
191,"Concord, NH Micro Area",153808.0,3880.0,143745.0,6183.0,140243.033,3026.033,3485.533,1466.2,1593.533,113.667,NH,Concord,3599.2
192,"Connersville, IN Micro Area",23398.0,273.0,22429.0,696.0,22347.283,377.533,85.45,105.75,203.867,5.117,IN,Connersville,90.56700000000001
193,"Cookeville, TN Micro Area",113982.0,6845.0,102752.0,4385.0,100882.9,2802.817,1423.733,580.567,1374.483,72.5,TN,Cookeville,1496.233
194,"Coos Bay, OR Micro Area",64929.0,4292.0,56281.0,4356.0,55631.817,426.733,1009.4,756.833,2588.567,223.65,OR,Coos Bay,1233.05
195,"Cordele, GA Micro Area",20128.0,634.0,18979.0,515.0,10115.0,8970.417,209.583,88.333,103.583,7.083,GA,Cordele,216.666
196,"Corinth, MS Micro Area",34740.0,1248.0,32364.0,1128.0,28278.333,4516.333,221.333,124.833,329.5,21.667,MS,Corinth,243.0
197,"Cornelia, GA Micro Area",46031.0,6880.0,37633.0,1518.0,35417.833,1894.917,1071.583,221.917,493.417,51.333,GA,Cornelia,1122.9160000000002
198,"Corning, NY Micro Area",93584.0,1718.0,87886.0,3980.0,86288.933,1843.85,1799.933,859.083,1042.35,31.85,NY,Corning,1831.783
199,"Corpus Christi, TX Metro Area",421933.0,255272.0,157923.0,8738.0,136798.7,14622.617,9516.283,2458.017,2770.283,495.1,TX,Corpus Christi,10011.383
200,"Corsicana, TX Micro Area",52624.0,16049.0,34709.0,1866.0,27866.417,6600.25,456.25,302.917,587.25,761.917,TX,Corsicana,1218.167
201,"Cortland, NY Micro Area",46809.0,1658.0,42971.0,2180.0,41859.033,1073.783,1108.617,536.083,553.2,20.283,NY,Cortland,1128.8999999999999
202,"Corvallis, OR Metro Area",95184.0,8524.0,80864.0,5796.0,74974.7,1310.033,7314.033,1207.2,1393.617,460.417,OR,Corvallis,7774.450000000001
203,"Coshocton, OH Micro Area",36612.0,401.0,35180.0,1031.0,35070.483,551.483,131.983,138.0,304.483,14.567,OH,Coshocton,146.55
204,"Craig, CO Micro Area",13292.0,2124.0,10602.0,566.0,10583.317,120.317,80.733,135.583,242.233,5.817,CO,Craig,86.55000000000001
205,"Crawfordsville, IN Micro Area",37936.0,2281.0,34490.0,1165.0,34313.083,465.25,304.083,173.667,369.917,29.0,IN,Crawfordsville,333.083
