,count,count,count,count,count,count,count,count,body_camera,body_camera,body_camera,body_camera,body_camera,body_camera,body_camera,body_camera
Butler Township,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Butte County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Byars,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Byng,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cabazon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabot,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cache,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Caddo Parish,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cade,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Calabasas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Calaveras County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Caldwell,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Caldwell County,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Caledonia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Calexico,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Calhoun,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
California City,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Calimesa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callahan,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Calumet City,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Calypso,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Camarillo,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Camden,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Camp Croft,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Camp Wood,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Campbell County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Campbellton,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbelltown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campo,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Campobello,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canaan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Canaan Township,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canandaigua,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Canetuck,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Caneyville,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Canon City,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Canton,1,0,1,0,0,1,2,3,0,0,1,0,0,0,0,1
Canton Township,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cantonment,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Canutillo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cape Canaveral,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Coral,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
Cape Girardeau,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Girardeau County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Capitol Heights,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlsbad,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Carmel,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
Carmichael,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Carnesville,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Caroline County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Carollwood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrizozo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll County,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Carrollton,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0
Carrollwood,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Carson,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Carson City,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Carter County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cartersville,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carterville,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Carthage,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Cartwright,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cary,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa Grande,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Casper,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Cass County,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Casselberry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Castaic,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Catasauqua,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cathedral City,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Cato Township,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catoosa,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Catoosa County,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cave City,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cave Junction,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Cayce,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cañon City,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar City,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cedar Hill,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Cedar Lake,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar Rapids,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Cedartown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Celina,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Centennial,0,0,2,3,0,1,1,0,0,0,0,1,0,0,0,0
Centerville,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0
Central Point,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Centralia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ceres,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Cerritos,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chalmette,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chambersburg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamblee,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Champaign,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chandler,1,1,0,1,0,2,1,2,0,0,0,0,0,0,1,0
Chanhassen,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
Channelview,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chanute,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chaparral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chapeno,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charleston,1,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0
Charleston View,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,2,6,3,2,4,0,3,1,0,3,0,1,1,0,0,0
Charlottesville,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase City,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chaska,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
Chatham County,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Chatsworth,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattanooga,3,0,1,1,1,2,1,0,0,0,0,0,0,1,0,0
Chaves County,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Chavies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheatham County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cheektowaga,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chehalis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chelsea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cheney,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cherokee County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chesaning,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chesapeake,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Chester,1,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0
Chesterfield,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Chesterfield County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chestertown,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chetopa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cheyenne,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Chicago,9,11,7,4,4,6,7,1,0,2,2,2,0,2,3,1
Chicago Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chickamauga,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chickasha,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Chico,2,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0
Childress,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chillicothe,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chinle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chino,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0
Chino Hills,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chisholm,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Chowchilla,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chula Vista,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Chunchula,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Church Hill,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Churchland,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cincinnati,2,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Cinco Ranch,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Circleville,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cisco,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Citra,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Citronelle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Citrus Heighs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Citrus Heights,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1
City Terrace,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Clackamas County,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Claiborne County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Clanton,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Claremont,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Claremore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clarendon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clarkdale,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clarkesville,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarkrange,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clarksburg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Clarksdale,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clarksville,0,0,2,3,2,0,1,0,0,0,0,1,1,0,0,0
Clarkville,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Claxton,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clay,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Claymont,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clayton,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clayton County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Cle Elum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clear Creek Canyon,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clear Creek County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Clear Lake Shores,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Clearcreek Township,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Clearfield,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clearlake Oaks,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Clearlake Park,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Clearwater,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Clemson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Clendenin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clermont,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cleveland,3,0,2,1,1,2,5,4,1,0,0,0,0,0,2,1
Clines Corners,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Clinton,0,2,1,3,3,2,1,0,0,1,0,0,0,1,0,0
Cloverdale,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloverleaf,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clovis,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Clute,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coachella,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Coal County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coalinga,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cobb County,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Cochran,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochran County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cocke County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cocoa,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
Cocoa Beach,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Coconut Creek,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Coden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coeburn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Coeur d'Alene,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Coeur d’Alene,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cofield,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cohasset,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colbert,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colby,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colebrook Township,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Coleman,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
College Park,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
College Station,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Collierville,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Collinsville,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Colonial Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Colorado City,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado Springs,2,2,3,3,5,1,6,2,0,0,0,0,2,0,0,0
Colton,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,4,0,1,0,0,1,2,2,1,0,0,0,0,0,0,1
Columbia Heights,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia Township,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Columbiana,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Columbua,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,7,7,8,11,1,6,5,1,1,0,2,0,0,1,2,1
Commerce,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Commerce City,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0
Compton,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concord,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
Coney Island,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conroe,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
Conshohocken,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Constantia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Converse,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Conway,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Conyers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cooke County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cookson,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coolin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Coon Rapids,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
Coos Bay,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Copper Center,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Coral Gables,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Coral Springs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Coram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cordova,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Corning,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corona,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Corpus Christi,1,1,1,1,1,3,3,1,1,0,1,0,1,0,1,0
Corvallis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Cosby,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Mesa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cottage Grove,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cotter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cottonwood,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Cottonwood Heights,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Counce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Council,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Council Bluffs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Coushatta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Covina,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Covington,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,1
Cowley County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cranbury Township,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crandon,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Crawford County,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Crawfordsville,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crenshaw County,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crescent City,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Crest Hill,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Creston,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crestview,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Crestwood,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Crofton,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Crosby,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cross Lanes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Crowell,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crowley,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Crown Point,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Crownpoint,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Springs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cullman County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Culpeper,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Culver,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Culver City,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cumberland County,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
Cumming,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
Cushing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuthbert,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cypress,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Dade City,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dadeville,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dahlonega,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dakota City,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalhart,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dallas,5,3,2,2,5,0,1,0,0,0,1,0,1,0,0,0
Dalton,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Daly City,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Dalzell,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Danbury,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dandridge,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dania Beach,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Danville,0,0,0,4,0,0,2,0,0,0,0,2,0,0,1,0
Daphne,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Darlington County,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0
Davenport,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0
Davidson County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Davidsonville,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Davie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Daviess County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Dayton,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
Daytona Beach,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
De Soto,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DeKalb,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DeKalb County,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
DeLand,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
DeRidder,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DeSoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeSoto County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dearborn,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Dearborn County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dearborn Heights,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Decatur,1,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0
Decatur County,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Deer Park,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Defiance,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Del City,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Del Mar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Norte County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Del Rio,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Deland,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delano,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Delaware Township,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Delhi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delray Beach,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Delta Township,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Deltona,2,0,2,0,1,1,0,0,0,0,0,0,1,1,0,0
Deming,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Demming,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Demopolis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Denham Springs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Denton,1,0,0,1,0,3,0,1,0,0,0,1,0,1,0,0
Denton County,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Denver,4,6,5,6,7,8,7,3,0,0,0,0,0,2,0,0
Deposit,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deptford,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Derry,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Des Moines,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0
Des Plaines,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Desert Hot Springs,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Desha,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detroit,2,1,2,3,1,6,5,2,0,0,0,2,0,2,1,0
Devil's Lake,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Devils Lake,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dewey Beach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dexter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dickinson,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Dickson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diggins,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dilley,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
