city,count,body_camera
Flagstaff,8,6
Ogden,8,4
Athens,8,7
Sparks,8,1
Clarksville,8,2
Monroe,8,1
Norfolk,8,2
Raleigh,8,3
Covington,8,1
Topeka,8,1
Toledo,8,3
Roswell,7,1
Peoria,7,3
Centennial,7,1
Gainesville,7,1
Greeley,7,0
Garland,7,0
Irving,7,0
Gary,7,0
Independence,7,0
Cincinnati,7,1
Jonesboro,7,0
Montgomery,7,1
Laredo,7,0
Rapid City,7,0
Rochester,7,3
Syracuse,7,3
Dayton,7,0
Franklin,7,0
St. Petersburg,7,0
Antioch,7,0
Pensacola,7,0
Brooklyn,7,1
Smyrna,7,2
Harris County,7,0
Houma,7,1
Georgetown,6,0
Anderson,6,0
Lake Charles,6,0
Santa Fe,6,2
Fairfield,6,0
Adams County,6,0
Myrtle Beach,6,2
Fort Pierce,6,0
Oxford,6,1
Madison,6,2
West Jordan,6,0
Hollywood,6,1
Napa,6,1
Marietta,6,0
Danville,6,3
Deltona,6,2
Decatur,6,1
Federal Way,6,0
Salisbury,6,1
Hilo,6,2
Denton,6,2
Metairie,6,0
Meridian,6,1
Des Moines,6,1
Chester,6,2
Rialto,6,1
Eau Claire,6,0
Augusta,6,0
Casper,6,0
Buckeye,6,1
Manchester,6,2
Azusa,6,0
Killeen,6,1
Visalia,6,0
Cocoa,6,1
Hayward,6,3
Vallejo,6,3
Great Falls,6,0
Palmdale,6,0
Elizabethtown,6,0
Grand Junction,6,0
Graham,6,0
Burlington,6,3
Eugene,6,1
Lafayette,6,0
Lawton,6,2
Englewood,6,2
North Las Vegas,6,1
Paterson,6,0
Buffalo,5,2
Aiken,5,0
Bristol,5,0
League City,5,0
Torrance,5,1
Silver Spring,5,2
Los Lunas,5,0
Victorville,5,0
Marion,5,1
Bradenton,5,0
Cottonwood,5,0
Carrollton,5,1
York,5,1
Sioux Falls,5,0
Davenport,5,1
Boerne,5,0
Ozark,5,0
Waco,5,0
St. Augustine,5,0
North Charleston,5,1
Elkton,5,0
Yuma,5,0
Idaho Falls,5,0
Union Township,5,0
Spring Hill,5,1
Douglas,5,0
Brownsville,5,0
Lubbock,5,1
Medford,5,1
Van Nuys,5,1
Shelbyville,5,1
Lexington,5,0
Loveland,5,0
Vineland,5,1
Mansfield,5,0
Princeton,5,0
Newton,5,2
Hillsboro,5,0
Mission,5,0
Missoula,5,0
Hesperia,5,0
Garden City,5,0
Winchester,5,2
Mobile,5,1
Gastonia,5,1
Gilbert,5,1
Pittsburgh,5,0
Renton,5,0
Huntington Beach,5,0
Lynn,5,0
Pomona,5,0
Harrisburg,5,0
Thornton,5,1
Rockford,5,1
Orange,5,2
Chino,5,1
Tahlequah,5,3
Muncie,5,3
Chico,5,2
San Angelo,5,0
Whittier,5,0
Fort Lauderdale,5,0
Citrus Heights,5,2
Alexandria,5,0
Bexar County,5,0
Hobbs,5,1
Jurupa Valley,5,0
Madison County,4,0
Inglewood,4,0
Burnsville,4,3
Cape Coral,4,2
Springdale,4,0
Morgantown,4,1
Paris,4,0
Hartford,4,2
Lexington County,4,0
Northglenn,4,0
Pittsburg,4,2
Casa Grande,4,0
St. Joseph,4,0
Homewood,4,0
Homestead,4,0
Liberty,4,0
Joplin,4,0
Carmichael,4,0
Lenoir,4,2
Puyallup,4,0
Cobb County,4,0
Hudson,4,1
Hampton,4,0
Pineville,4,0
Edinburg,4,0
Avondale,4,0
Hamilton,4,0
Hattiesburg,4,0
Clearwater,4,0
South Bend,4,0
Sparta,4,1
Kalamazoo,4,0
Highland,4,0
Muskogee,4,2
Deming,4,0
High Point,4,0
New Castle,4,0
Jefferson City,4,0
Delano,4,0
Palm Bay,4,0
Red Bluff,4,0
Plano,4,0
Spartanburg,4,0
Valdosta,4,1
London,4,0
Chickasha,4,1
Dearborn,4,0
St. Cloud,4,0
Chula Vista,4,0
Cumming,4,0
Morristown,4,0
Lompoc,4,1
Cumberland County,4,0
DeKalb County,4,0
Ocala,4,0
Indio,4,1
South Gate,4,0
Redlands,4,0
Fort Collins,4,2
Riverview,4,2
Newport News,4,0
Benton,4,0
Sallisaw,4,0
Bossier City,4,1
Fullerton,4,2
Washington County,4,2
Boulder,4,1
Salinas,4,2
Gardena,4,1
Miami Gardens,4,0
Warren,4,0
Lake Elsinore,4,0
El Monte,4,0
Beaverton,4,0
Trenton,4,0
West Memphis,4,0
Lake Jackson,4,0
Pearland,4,0
Yakima,4,1
Blue Springs,4,0
Conroe,4,0
Concord,4,1
Marana,4,0
Waukesha,4,0
Biloxi,4,0
Commerce City,4,0
Fort Wayne,4,0
Presque Isle,4,0
Terre Haute,4,0
Prescott,4,1
Ada,4,0
San Leandro,4,0
Flint,4,0
Franklin County,4,0
Sedalia,4,1
Sunnyvale,4,0
Nampa,4,0
Roseville,4,2
Greensboro,4,3
Cheyenne,4,0
Elkhart,4,0
Gillette,4,0
Mableton,4,0
Kirkland,4,0
Piedmont,4,0
Orange Park,4,0
Pasco,4,0
Phenix City,4,1
Bronx,4,1
Allen,4,0
Escondido,4,1
Brooksville,4,0
Baytown,4,0
Lacey,4,0
Roanoke,4,1
Weatherford,4,0
Sun City,3,0
Temecula,3,0
Loganville,3,0
Lufkin,3,2
Stillwater,3,1
Tarboro,3,1
Compton,3,0
Crescent City,3,1
Dalton,3,0
Port St. Lucie,3,0
Lowell,3,0
Portsmouth,3,0
Clovis,3,1
Overland Park,3,0
Colton,3,0
Jamestown,3,0
Corona,3,0
College Station,3,0
Sugar Creek,3,0
Stone Mountain,3,0
Jasper,3,0
Culpeper,3,0
Sylvania Township,3,0
Crowley,3,0
Commerce,3,1
Macon,3,0
Madera,3,1
Sterling,3,0
Largo,3,0
Darlington County,3,1
Pompano Beach,3,0
Pine Bluff,3,1
Gresham,3,0
Greenwood,3,2
Johnson City,3,0
Greenville County,3,1
Greeneville,3,1
Rock Island,3,1
Green Bay,3,0
Klamath Falls,3,0
Knox County,3,0
La Quinta,3,1
Kettering,3,0
Rossville,3,0
Ruidoso,3,0
Rushville,3,0
Russellville,3,0
Huntington,3,0
Saginaw,3,0
Huntington Park,3,0
San Fernando,3,0
Fox Crossing,3,0
San Marcos,3,0
Hallandale Beach,3,2
Polk County,3,0
Lodi,3,0
Pleasanton,3,1
Horry County,3,1
Horn Lake,3,0
Hopewell,3,1
Queens,3,0
Quincy,3,0
Racine,3,1
Pocatello,3,1
Rancho Cordova,3,0
Rancho Cucamonga,3,0
Rancho Mirage,3,1
Joliet,3,0
Kerrville,3,0
Hialeah,3,0
Reading,3,0
Henry County,3,0
Kearns,3,0
Pittsfield,3,0
Harvey,3,0
Kennewick,3,0
Kentwood,3,1
Happy Valley,3,0
Hanover,3,0
Fort Walton Beach,3,0
Fort Smith,3,1
Fort Myers,3,0
Lewistown,3,0
Elizabethton,3,0
El Cajon,3,1
Lemoore,3,0
Edgewood,3,0
Parma,3,0
Lenoir City,3,1
Siskiyou County,3,1
East Point,3,0
Parker,3,1
East Baton Rouge,3,0
Eagar,3,0
San Ysidro,3,1
Abbeville,3,1
Lincoln County,3,0
Dover,3,0
Dothan,3,0
Spanaway,3,0
Spring,3,1
Delray Beach,3,0
DeLand,3,0
Pahrump,3,2
Daytona Beach,3,3
Lebanon,3,1
Jefferson County,3,0
Emeryville,3,0
Lawrenceburg,3,0
Sand City,3,1
Sanford,3,1
Santa Clara,3,0
Forest Park,3,0
Santa Clarita,3,0
Santa Maria,3,0
Floyd County,3,0
Landover,3,0
Lansing,3,1
Scott County,3,0
Hurst,3,0
Larimer County,3,0
Fairview,3,0
Seaside,3,2
Jersey City,3,0
Hutchinson,3,0
Everett,3,0
Evans,3,1
Eustis,3,0
Selma,3,1
Essex,3,2
Temple,3,0
Jackson County,3,0
Marysville,3,1
North Port,3,0
Battle Creek,3,1
Miami Township,3,2
Winn Parish,3,0
Oceanside,3,0
Mojave,3,0
Wauwatosa,3,1
Waverly,3,0
Walton,3,0
Mesquite,3,1
Carson City,3,0
Burbank,3,0
Belleville,3,0
Caldwell,3,0
Yucca Valley,3,0
Yulee,3,0
Chesapeake,3,1
Atlantic City,3,1
Chamblee,3,0
Moreno Valley,3,0
Wasco,3,2
Terrytown,3,1
Wilkinsburg,3,0
Trinidad,3,1
Anadarko,3,1
Cedar Rapids,3,1
Albany,3,0
Centerville,3,1
West Palm Beach,3,0
Byron,3,0
Newport,3,0
Norman,3,0
Ceres,3,1
Troy,3,0
Cathedral City,3,0
Alamogordo,3,1
Yonkers,3,0
Miami-Dade County,3,1
Allentown,3,0
Appleton,3,2
Artesia,3,0
Bismarck,3,0
Woodville,3,0
Wenatchee,3,0
Camden,3,0
Abilene,3,0
Winter Haven,3,0
Montpelier,3,0
Bend,3,0
Willis,3,0
Wichita Falls,3,0
Belton,3,0
Vacaville,3,1
Clackamas County,3,0
Apache Junction,3,0
Auburndale,3,0
Atwater,3,0
Union City,3,1
Melbourne,3,0
Old Town,3,0
Wellington,3,2
Brockton,3,0
Acworth,3,0
Carlsbad,3,0
New Iberia,2,0
Moss Point,2,1
Milton,2,0
Mifflin Township,2,0
Fountain Inn,2,0
Nogales,2,0
Fountain,2,0
Waterford Township,2,0
Milwaukie,2,0
Wimberley,2,0
Redondo Beach,2,0
Floral City,2,0
Milford,2,0
North Aurora,2,0
Milpitas,2,2
Fort Lupton,2,1
Fort Valley,2,0
Millbrook,2,0
Sand Springs,2,2
Henderson County,2,0
Fort Dodge,2,1
Hendersonville,2,0
Waynesboro,2,0
Morrow,2,0
Plant City,2,0
Wayne County,2,0
Sandpoint,2,0
Henrico,2,0
Forrest City,2,0
Pembroke,2,1
Henrico County,2,1
Lake Wales,2,0
Wausau,2,0
Webster,2,0
Nokomis,2,0
Millville,2,0
Fort Madison,2,0
Bloomingdale,2,0
Waukegan,2,2
Lake Stevens,2,0
Water Valley,2,0
Schenectady,2,0
Sarasota,2,0
Sevierville,2,1
Menifee,2,0
Payson,2,0
Lawrenceville,2,0
Merced,2,0
Rapid Valley,2,0
Wake Forest,2,0
Kalihi,2,0
Flatwoods,2,0
Lawrence,2,0
Lawndale,2,1
Semmes,2,0
Walker County,2,0
Laurel,2,0
Eufaula,2,1
Pawtucket,2,0
Winslow,2,1
New Boston,2,0
Winston-Salem,2,0
Paulden,2,1
Encinitas,2,0
Wagoner,2,1
Lealman,2,0
North Little Rock,2,0
Sheboygan,2,1
Shelby,2,0
Apex,2,0
Shelby Township,2,0
Elmira,2,0
Brighton,2,0
Wadena County,2,0
Ellis County,2,0
Bremen,2,0
Euless,2,0
Eureka,2,1
Laramie,2,0
Flathead County,2,0
Middletown,2,0
Bolton,2,0
Katy,2,0
Fife,2,0
Ferguson,2,0
Middlesboro,2,0
Archdale,2,0
Boone,2,0
Helena,2,0
Schertz,2,1
North East,2,0
Farmers Branch,2,0
Lantana,2,1
Warwick,2,0
Mount Hope,2,0
Fall River,2,0
Miami Beach,2,0
Fairmont,2,0
Boynton Beach,2,0
Aransas Pass,2,1
Metropolis,2,0
Fairfax,2,0
Sebring,2,0
Hickory,2,1
Braintree,2,0
Fair Oaks,2,0
Walnut Creek,2,1
Sedona,2,0
Lauderdale County,2,1
Fountain Valley,2,0
Zion,2,0
Beverly,2,0
Atkins,2,0
Kokomo,2,0
Grand Rapids,2,2
Westerville,2,1
Grandview,2,0
Newnan,2,1
Pico Rivera,2,0
Grant-Valkaria,2,0
Frankfort,2,0
Westminister,2,0
Hardwick,2,0
Hardeeville,2,0
Grass Valley,2,0
Gray,2,1
Rockville,2,0
Grand Prairie,2,0
Bassett,2,0
Grand Island,2,0
Grand Forks,2,0
Montebello,2,0
Batesville,2,0
Harmony,2,0
Monteagle,2,0
La Habra,2,0
La Marque,2,1
Rosamond,2,0
Goodyear,2,0
Rosebud,2,1
Rosenberg,2,0
West Valley City,2,2
Wildomar,2,0
Golden Valley,2,0
Weston,2,0
Greece,2,0
Bartlesville,2,0
Whitehaven,2,1
Pinellas Park,2,0
Pine River,2,0
Guthrie,2,0
Pine Hills,2,1
Ripon,2,0
Rising Sun,2,0
Hall County,2,0
Kings County,2,0
Moraine,2,1
Guadalupe County,2,0
Guadalupe,2,0
Azle,2,0
Riverdale,2,0
Bailey,2,1
Riverton,2,0
Monterey Park,2,0
Whitehall,2,0
Kingsland,2,1
Hamilton County,2,0
Kingsport,2,0
Monument,2,0
Hamilton Township,2,0
Hammett,2,0
Avon,2,0
Robbins,2,0
Austell,2,0
Barbourville,2,0
Hancock County,2,0
Greene County,2,0
Barrow County,2,0
Montcalm,2,1
Bay City,2,0
LaFollette,2,0
Hazel Dell,2,0
West Des Moines,2,0
Garden Grove,2,1
Bellflower,2,0
Salemburg,2,0
Salina,2,0
West Covina,2,0
Galesburg,2,1
Gaithersburg,2,1
Kelso,2,0
Hays,2,0
Gaines Township,2,0
Gadsden,2,0
Fulton,2,0
Fulshear,2,1
Elko,2,1
Bell Gardens,2,0
Lake Havasu City,2,1
Benton Harbor,2,2
Miramar,2,0
Bentonville,2,0
San Benito,2,0
Weslaco,2,0
Bernalillo,2,0
Lake Lanier,2,0
Bessemer City,2,0
Redwood City,2,0
San Gabriel,2,0
Franklinton,2,0
Weld County,2,0
Bettendorf,2,0
Lake Forest,2,1
Asbury Park,2,0
LaGrange,2,0
Ashtabula,2,0
Round Rock,2,1
West Sacramento,2,2
Harrison Township,2,0
Harrisonburg,2,1
Ashville,2,0
Roy,2,1
Glendora,2,0
Royal Oak,2,0
Glen Burnie,2,0
Rexburg,2,0
Monroe County,2,1
Gilroy,2,2
West Odessa,2,0
Beaver Dam,2,0
Perryville,2,0
West Hanover Township,2,0
Beckley,2,0
Ashland,2,1
Asheville,2,0
Reseda,2,2
Germantown,2,0
Rutland,2,0
Kendale Lakes,2,0
Monahans,2,0
Geneva,2,0
Geneseo,2,0
Safety Harbor,2,0
Hawkins,2,0
Bel Air,2,0
Morris,2,0
Elkridge,2,0
Sherman,2,0
Shelton,2,0
Los Banos,2,0
Cave Junction,2,0
Albertville,2,1
Stockbridge,2,0
Stillwater County,2,0
Catoosa County,2,0
Catoosa,2,0
Castaic,2,0
Oildale,2,1
Owensboro,2,0
Yazoo City,2,0
Naples,2,0
Stanton,2,0
Carthage,2,0
Martin County,2,0
Trotwood,2,0
Crawford County,2,0
Crandon,2,0
Stone County,2,1
Cedar Hill,2,0
Covina,2,0
Celina,2,0
Stratford,2,1
Ohatchee,2,1
Ouachita Parish,2,0
Stroudsburg,2,0
Alamosa,2,0
Jennings,2,1
Cerritos,2,0
Corning,2,0
Powder Springs,2,0
Jeffersonville,2,0
Cartersville,2,0
Tulare,2,0
Oxon Hill,2,0
Tustin,2,0
Springville,2,0
Union County,2,0
St Louis,2,0
Deer Park,2,0
St. Charles County,2,0
Oak Park,2,1
Dearborn Heights,2,0
Palestine,2,1
Shepherdsville,2,0
Llano,2,0
Provo,2,0
Mulberry,2,0
Palatka,2,0
Maryville,2,0
Davis,2,1
Carson,2,0
Tuscumbia,2,0
Tuscaloosa,2,1
Alpine,2,1
Aloha,2,0
Carmel,2,2
Tupelo,2,0
Dania Beach,2,0
Prichard,2,0
Wyoming,2,0
Daly City,2,0
Huntersville,2,1
Port Orange,2,1
Carroll County,2,0
Ponca City,2,0
Coral Gables,2,0
Coos Bay,2,0
Livingston,2,0
Irmo,2,0
Portage,2,0
Clermont,2,0
Church Hill,2,0
Tamarac,2,0
Thomaston,2,0
Thomasville,2,1
Olivehurst,2,0
Poplar Bluff,2,0
Talking Rock,2,0
Manchester Township,2,0
Mandan,2,1
Porterville,2,0
Sylvester,2,0
Adel,2,0
Cinco Ranch,2,0
Taos,2,0
Nacogdoches,2,0
Clearfield,2,0
Abingdon,2,0
Tarpon Springs,2,0
Port Charlotte,2,0
Texarkana,2,1
Taylors,2,0
Taylorsville,2,1
Maiden,2,0
Madison Township,2,0
Iuka,2,0
Clanton,2,1
Claremont,2,0
Temple Hills,2,0
Aberdeen,2,0
Manila,2,0
Adelanto,2,0
Sylmar,2,0
Columbia Township,2,0
Immokalee,2,0
Sullivan,2,0
Alamo,2,1
York County,2,1
Maricopa,2,0
Lumberton,2,0
Margate,2,0
Tonopah,2,1
Orem,2,1
Pottstown,2,0
Indian River County,2,1
Chaves County,2,0
Okmulgee,2,0
Yreka,2,0
Jean,2,0
Sylacauga,2,0
Titusville,2,1
Mankato,2,0
Timberville,2,0
Colorado City,2,0
Sunrise,2,0
Collinsville,2,0
Yuba City,2,0
Olathe,2,0
Port Arthur,2,0
Surprise,2,1
Orange County,2,0
Jamesville,2,1
Chesterfield,2,0
Coeur d'Alene,2,0
Del Rio,2,0
Oak Ridge,2,0
Campo,2,0
Mt. Airy,2,0
Holly Springs,2,0
Vero Beach,2,0
Slidell,2,0
Burien,2,0
Smith County,2,0
Hollywood Hills,2,0
Burkesville,2,0
East Cleveland,2,1
McMinnville,2,0
Snellville,2,0
Jourdanton,2,0
Snyder,2,0
Ventnor,2,1
Eagan,2,1
Socorro,2,0
Joshua Tree,2,0
Soddy-Daisy,2,0
Vassalboro,2,0
Dunsmuir,2,0
Alton,2,0
Wood County,2,0
Lima,2,0
Norwalk,2,0
Duluth,2,1
South El Monte,2,0
Panorama City,2,1
Cabot,2,0
Cache,2,0
South Haven,2,1
Parkland,2,1
Wise County,2,0
Eaton County,2,0
El Centro,2,1
Broken Bow,2,0
Elk Grove,2,0
Hiram,2,0
Paso Robles,2,0
Vista,2,0
Shirley,2,0
Leesburg,2,0
El Sereno,2,0
Brooklyn Center,2,2
Brookville,2,0
Randallstown,2,0
El Mirage,2,1
Vinita,2,0
Brunswick,2,0
Parkville,2,1
Lehigh Acres,2,0
Plymouth Township,2,0
Leitchfield,2,0
Leland,2,0
Lemon Grove,2,0
Edmond,2,0
Edison,2,0
Hohenwald,2,0
Villa Park,2,0
North Pole,2,0
Buford,2,0
Victoria,2,1
Eatonville,2,0
Quartzsite,2,0
McKinney,2,0
Hackensack,2,0
Hoover,2,0
Denton County,2,0
Calumet City,2,0
Spokane Valley,2,0
Panama City,2,0
South Ogden,2,0
South Salt Lake,2,0
Point Loma,2,0
Dolton,2,1
South Lake Tahoe,2,0
McAlester,2,0
Southaven,2,0
Callahan,2,0
Derry,2,0
Oak Cliff,2,0
Desert Hot Springs,2,0
Jonesborough,2,0
Puna,2,0
Spalding County,2,1
Dinuba,2,0
Spanish Fork,2,1
Caldwell County,2,1
Spencer,2,0
Woodlawn,2,1
Woodbridge,2,0
Altoona,2,0
Douglasville,2,1
Douglas County,2,1
Palm Springs,2,0
O'Fallon,2,1
Linda,2,0
Norwood,2,0
Palm Beach Gardens,2,0
University City,2,0
Dickinson,2,0
Calexico,2,1
Upper Darby,2,0
Joilet,2,0
Camarillo,2,1
Denham Springs,2,0
Pulaski,2,0
Port Barre,1,0
Pinion Hills,1,0
Pollocksville,1,0
New Albany,1,0
Port Barrington,1,0
Natomas,1,0
New Berlin,1,0
Polkton,1,0
Nashua,1,0
Pleasant View,1,0
Pittston,1,0
Placentia,1,0
Plainsboro,1,0
National City,1,1
Port Jervis,1,0
Plymouth,1,0
Pinetop-Lakeside,1,0
Port Neches,1,0
New Paltz,1,0
New Milford,1,0
Pippa Passes,1,0
New Lenox,1,0
Poinciana,1,0
Pinnacle,1,0
Plainview,1,0
Plaquemine,1,0
Nelson Township,1,0
Napa Valley,1,1
Neenah,1,0
Ponder,1,0
New London,1,1
Pontotoc County,1,0
Pope County,1,0
Needles,1,0
Plantation,1,0
New City,1,0
Plainville,1,0
New Hope,1,0
New Llano,1,0
Naperville,1,1
Nevada,1,0
New Lyme Township,1,0
Pocahontas County,1,0
Pleasant Hill,1,0
Platte County,1,0
Navarre,1,0
New Britain,1,0
New Brunswick,1,0
Neshoba County,1,0
Neosho,1,0
Port Allen,1,0
Naschitti,1,0
Pink,1,0
Pocono Township,1,0
Nederland,1,0
Nanakuli,1,0
Nelsonville,1,1
New Kensington,1,0
Onalaska,1,0
Pinetop,1,0
Palermo,1,1
O'Brien,1,0
Palmer,1,0
Palm Harbor,1,0
Palm Desert,1,0
Oak Creek,1,0
Palm City,1,0
Oak Forest,1,0
Oak Harbor,1,0
Oak Hill,1,0
Oak View,1,0
Palmyra,1,1
Oakdale,1,0
Oakfield,1,0
Pahoa,1,0
Paducah,1,0
Oakland City,1,0
Paddock Lake,1,0
Pacific Beach,1,1
Oakland Park,1,0
Oakridge,1,0
Palmetto,1,0
Palo Alto,1,0
Oxnard,1,0
North St. Louis,1,0
Parkton,1,0
Parks,1,0
North Riverside,1,0
Parkersburg,1,0
Park County,1,0
North Royalton,1,0
Pardeeville,1,0
Paramount,1,0
North Shore,1,0
North Topeka,1,0
Pana,1,0
Northwood,1,0
Paradise Valley,1,0
Paradise,1,0
Papaaloa,1,0
Panora,1,0
Panhandle,1,0
Panama City Beach,1,0
Norwich,1,0
Nutter Fort,1,0
Oaks,1,1
Owingsville,1,0
Parmelee,1,0
Opelika,1,0
Orangeville Township,1,0
Old Bridge,1,0
Orangeburg,1,0
Orange City,1,0
Old Fields,1,0
Old Forge,1,0
Old Mines,1,0
Old Saybrook,1,0
Opp,1,0
Olivia,1,0
Orcutt,1,0
Olustee,1,0
Opa-Locka,1,0
Olympia,1,0
Olympic Valley,1,0
Ooltewah,1,0
Ono,1,0
Ona,1,0
Oneonta,1,0
Oneida,1,0
Orchard Mesa,1,0
Okmulgee County,1,0
Oconto,1,0
Oshkosh,1,1
Owings Mills,1,0
Owen County,1,0
Owasso,1,1
Odanah,1,0
Overton County,1,0
Odenville,1,0
Overlea,1,1
Osteen,1,0
Oshtemo Township,1,0
Orrington,1,0
Oregon City,1,0
Oroville,1,0
Oil Springs,1,0
Orosi,1,0
Orofino,1,1
Oro Valley,1,0
Ormond Beach,1,0
Okaloosa Island,1,1
Okarche,1,0
Okemah,1,0
North Richmond,1,0
North Platte,1,0
Pine Top,1,0
Perry Township,1,0
Pettis County,1,0
Petroleum,1,0
Peterson,1,0
Peterborough,1,0
Petal,1,0
Newport Beach,1,0
Peshtigo,1,0
Newton Grove,1,0
Perryopolis,1,0
Perry,1,0
Pflugerville,1,1
Nice,1,0
Niceville,1,0
Perris,1,0
Perdido Key,1,0
Nicholasville,1,0
Perdido,1,0
Nikolaevsk,1,0
Niles,1,0
Niles Charter Township,1,0
Peyton,1,0
Pharr,1,0
Nipton,1,0
Newberry,1,0
New Port Richey,1,1
New Rochelle,1,0
Pine County,1,1
New Smyrna Beach,1,1
New Straitsville,1,0
New Underwood,1,0
Pima County,1,0
New Wilmington,1,0
Pima,1,0
Pilot Station,1,0
Phelps,1,0
Newburgh,1,1
Newbury,1,0
Pikesville,1,1
Pike County,1,0
Pigeon Forge,1,0
Newman,1,0
Picture Rocks,1,0
Philipsburg,1,0
Philadephia,1,0
Nipomo,1,0
Pentress,1,1
North Middleton,1,0
Peachland,1,0
Pearl River County,1,0
North Fort Collins,1,1
North Fort Myers,1,0
North Hills,1,0
Pearl,1,0
North Hollywood,1,0
Pearisburg,1,0
Peachtree City,1,0
North Laredo,1,0
Pavilion Township,1,0
North English,1,0
Paulding County,1,0
North Lauderdale,1,0
Pattison,1,0
North Manchester,1,1
North Miami,1,0
Passaic,1,0
Pascagoula,1,0
North Miami Beach,1,0
Parowan,1,0
North Escambia,1,0
North Branch,1,0
Nitro,1,0
Penasco,1,0
Noble County,1,0
Nocona,1,0
Pennsburg,1,0
Pennfield Township,1,0
Noma,1,1
Norco,1,0
Penn Township,1,0
Penn Hills,1,0
Pendleton,1,1
Norcross,1,0
North Bergen,1,0
Pembine,1,0
Normal,1,1
Pemberton,1,0
Pelzer,1,0
Pelion,1,0
Pelehatchie,1,0
Pearson,1,0
North Bend,1,0
Pearlington,1,0
Pell City,1,0
Santa Barbara,1,0
Port Orchard,1,0
Twentynine Palms,1,0
Tukwila,1,0
Tularosa,1,0
Tullahoma,1,0
Tunbridge,1,0
Turlock,1,0
Tuscson,1,0
Twinsburg,1,0
Urbandale,1,1
Two Rivers,1,0
Tyler,1,0
Tyrone,1,0
Udall,1,0
Unadilla,1,0
Union Grove,1,0
Tucumcari,1,0
Tualatin,1,0
Truth or Consequences,1,0
Trumann,1,0
Trout Creek,1,0
Trosper,1,0
Trinity,1,0
Trigg County,1,0
Tremont,1,1
Treme,1,1
Traphill,1,0
Towson,1,1
Topsham,1,0
Toppenish,1,0
Tooele,1,0
Tonalea,1,0
Toms River,1,0
Uniontown,1,0
Utica,1,0
Wales,1,0
Volant,1,0
Viera,1,0
Villa Hills,1,0
Village of Oak Creek,1,1
Vincennes,1,0
Vinton,1,0
Virginia,1,0
WInston Salem,1,0
Uvalde,1,0
Wabash,1,0
Wadesboro,1,0
Wadsworth,1,0
Wagoner County,1,0
Wailuku,1,1
Wake County,1,0
Vici,1,1
Vestavia Hills,1,0
Vernon Parish,1,0
Vernon,1,0
Ventura,1,0
Ventana Ranch,1,0
Venice,1,1
Vandalia,1,0
Van Wert,1,0
Van Buren,1,0
Valparaiso,1,0
Valley View,1,0
Valley Head,1,0
Valley Falls,1,0
Valinda,1,0
Valdez,1,0
Vadnais Heights,1,0
Tomball,1,0
Tom,1,0
Tolleson,1,0
Surfside Beach,1,0
Sumter,1,1
Sunland Park,1,0
Sunman,1,1
Sunridge,1,0
Sunset,1,0
Superior,1,0
Suring,1,0
Toccoa,1,0
Sussex County,1,0
Swan Quarter,1,0
